SKU,ASIN,UPC,Category,Title,Condition, Price ,Classification,AmazonSalesRank,AmazonLowestPrice,Brand,Manufacturer,ManufacturerPartNum,UserData10,UserData11,UserData2,UserData3,UserData4,UserData5,UserData6,UserData7,UserData8,UserData9,Weight,Ship wt, Est Margin ,% Margin
mon0000165598,B00BEY4K0C,718037774541,OfficeProducts,"WESTERN DIGITAL-ENTERPRISE Western Digital RE WD2001FYYG 2 TB 3.5"" Internal Hard Drive - 20 Pack<br>20PK 2TB WD2001FYYG SAS 7200 RPM 32MB 3.5IN 6GB/S<br>6Gb/s SAS - 7200 rpm - 32 MB Buffer",New," $ 4,407.73 ",AZ eCommerce One,,4407.73,Western Digital,WESTERN DIGITAL-ENTERPRISE,ITE-PV5808-DBD|1,,BULK, $ 216.30 ,49165,HD-W21FYYG,WD2001FYYG,Western Digital,SAS,Western Digital RE WD2001FYYG 2TB 7200RPM SAS2/SAS 6.0 GB/s 32MB Enterprise Hard Drive (3.5 inch),1.7,33.2,34," $ 3,509.57 ",1623%
mon0000175042,B00C3WOQYO,672042044306,Beauty,Supermicro CSE-733TQ-665B SC733 TQ-665B - Mid tower - extended ATX - SATA/SAS - hot-swap - power supply 665 Watt - black - USB - for SuperWorkstation 7036A-T,New," $ 4,107.09 ",AZ eCommerce One,,400,Supermicro,SUPERMICRO COMPUTER,CSE-733TQ-665B,8775,RETAIL, $ 221.00 ,93302,CA-73TQ65B,CSE-733TQ-665B,Supermicro,Workstation Chassis,Supermicro SuperChassis CSE-733TQ-665B 665W Mid-Tower Workstation Chassis (Black),37,3740,3740," $ 1,211.03 ",548%
mon0000169614,B00D00K430,876818001399,OfficeProducts,"100"" Diagonal Home Cinema",New, $ 603.78 ,AZ eCommerce One,,603.78,"Elite Screens, Inc","Elite Screens, Inc",M100XWH,2949.38,RETAIL, $ 110.21 ,82014,EL-M100XWH,M100XWH,Elite Screens,Projector & Screen,"Elite Screens Manual Series M100XWH 100"" 16:9 Projection Screen",22.7,24,24, $ 387.80 ,352%
mon0000173955,B000VKYQD6,672042016778,Miscellaneous,Supermicro PDSBM-LN2+ Motherboard,New, $ 499.99 ,AZ eCommerce One,,499.99,Supermicro,Supermicro,MBD-PDSBM-LN2+-B,,BULK, $ 119.48 ,57997,MB-PDSBM+B,PDSBM-LN2+-B,Supermicro,LGA 775,"Supermicro PDSBM-LN2+-B LGA775/ Intel 946GZ/ DDR2/ PCI-E/ SATA2/ V&2GbE/ MATX Server Motherboard, Bulk",4.5,8,8, $ 299.11 ,250%
mon0000175149,B004UJGGOQ,872767002647,Miscellaneous,ARCTIC COOLING Arctic Fan F9 PWM 92x92x25mm Case Fan,New, $ 18.30 ,AZ eCommerce One,,7,ARCTIC,ARCTIC COOLING,AFACO-090P0-GBA01,,RETAIL, $ 4.89 ,93980,CA-F9PWM,FAN 9 PWM,ARCTIC,92mm,ARCTIC Arctic Fan F9 PWM 92x92x25mm Case Fan,0.25,0.1,1, $ 8.12 ,166%
mon0000173841,B000SSPXTM,672042016792,Miscellaneous,"Supermicro C2SBA+ Desktop Board - Intel G33 - Socket T - 1333MHz, 1066MHz, 800MHz FSB - 8GB - DDR2 SDRAM - DDR2-800/PC2-6400, DDR2-667/PC2-5300",New, $ 396.67 ,AZ eCommerce One,,396.67,Supermicro,Supermicro,C2SBA+,,RETAIL, $ 126.69 ,57997,MB-C2SBA+,C2SBA+-O,Supermicro,LGA 775,Supermicro C2SBA+-O Core 2 Quad/ G33/ DDR2/ SATA2/ A&V&GbE/ ATX Server Motherboard,3,3.45,4, $ 206.28 ,163%
mon0000174560,B00BY3WPVE,878294033826,Miscellaneous,iMicro 3ft CAT6 Molded Patch Cable (Blue),New, $ 8.15 ,AZ eCommerce One,,3.16,iMicro,iMicro,C6M-3-BUB,,BULK, $ 1.96 ,75400,ST-C6_3BLU,C6M-3-BUB,iMicro,Ethernet Cable,iMicro C6M-3-BUB 3ft Cat6 UTP Molded Patch Cable (Blue),0.1,,0, $ 2.97 ,151%
mon0000169608,B007W4W9TM,876818001184,OfficeProducts,Elite Screens Manual Pull Down Projection Screen - N14101,New, $ 334.00 ,AZ eCommerce One,,334,Elite Screens,Elite Screens,M92UWH,1986.75,RETAIL, $ 110.21 ,82007,EL-M92UWH,M92UWH,Elite Screens,Projector & Screen,"Elite Screens Manual Series M92UWH 92"" 16:9 Projection Screen",17.6,19.14,20, $ 160.69 ,146%
mon0000173849,B001D76BPM,672042031573,Miscellaneous,Supermicro Core 2 Extreme Motherboard MBD-C2SEA-O,New, $ 305.70 ,AZ eCommerce One,,299.95,Supermicro,Supermicro,MBD-C2SEA-O,438.75,RETAIL, $ 119.00 ,56064,MB-C2SEA,C2SEA-O,Supermicro,LGA 775,Supermicro C2SEA-O Core 2 Extreme/ G45/ DDR3/ HDMI/ A&V&GbE/ ATX Motherboard,2.8,2,2, $ 137.75 ,116%
mon0000175039,B00181BDL0,672042016570,Miscellaneous,"Supermicro 2.5"" HDD Tray",New, $ 30.36 ,AZ eCommerce One,,24.37,Supermicro,Supermicro,MCP-220-83601-0B,,BULK, $ 11.00 ,94260,CA-MCP2281,MCP-220-83601-OB,Supermicro,Accessory,Supermicro MCP-220-83601-OB 2.5 inch Hard Disk Drive Tray,1,0.25,1, $ 12.26 ,111%
